deal,auction,notes
1,"1C – 2H (1-4-4-4, 8+ HCP) – 2S (waiting) – 3C (11-13 HCP) – 3S (sets trump) – 4C (cue) – 4H (cue) – 4S",
2,"1C – 1NT (5+ C, GF) – 2C (waiting) – 2S (5332, non-min; start with 1S with 5min 332 and 8-10) – 2NT (waiting) – 3S (doubleton) – 4H (to play) – P (~13- HCP)",
3,"1C – 1H (5+ S, GF) – 2H (6+ H) – 3C (4-5 D) – 3H (sets suit) – 3S (cue) – 4D (cue) – 4S (H keycard) – 5C (3/0) – 5D (Q?) – 5NT (QH no other K) – 6H (probably too much to ask to get to 7; N would need to reveal shape more precisely)","Possible that N could bid 3D instead of 3H, which sets the suit and initiates cuebids"
4,"1C – 2NT (4-4-4-1, 8+ HCP) – 3C (waiting) – 3H (11-13 HCP) – 3NT (to play) or (less likely) 4D (relay) – 4H (forced) – 5D (to play)",
4-1,"1C – [1H] – X (takeout, GF) – [2H] – 3C – [P] – 3NT",Alternative
5,"1C – 1NT (5+ C GF) – 2S (usually 6+ spades) – 3C (4-5 D) – 3H (55 majors) – 4NT (no fit, 11-13) – 6NT",
6,"1C – 2D (5+ H, GF) – 2S (6+ spades) – 3D (6+ H) – 3H (set suit) – 3S (cue bid) – 4C (cue) – 4D (cue) – 4S (keycard) – 5NT (even w/ void) – 7H?",
7,"1C – 2C (5+ D, GF) – 2H (6+ hearts) – 2S (5332, non-min) – 3H (set suit) – 4D (cue) – 4S (keycard) – 5D (2 keycards, no QH) – 6H",
8,"1C – 3C (4-4-1-4, 8+ HCP) – 3D (waiting) – 3S (11-13 HCP) – 4C (relay) – 4D (forced) – 4H (nat slam try) – P",
9,"1C – 1H (5+ S, GF) – 2C (6+ C) – 2D (4-5 H) – 3C (set suit) – 3D (cue) – 3H (cue) – 3S (cue) – 4D (keycard) – 4NT (2 keycards, no QC) – 5D (kings?) – 5NT (no KH, no KS, yes KD) – 6NT",
10,"1C – 3C (4-4-1-4, 8+ HCP) – 3D (waiting) – 4C (16+ HCP) – 4NT (spade keycard) – 5D (3/0) – 5H (Q?) – 6S (QS, no other K’s) – P (probably)","I’ve never discussed this auction, because the 4C bid showing 16+ HCP is exceedingly rare. It stands to reason that the only permissible bids after that are looking for slams, so they should be keycard sequences for the usual mini-Roman relay"
11,Like #8,
12,"1C – 1H (5+ S, GF) – 1S (waiting) – 2H (6+ S) – 2S (set suit) – 3H (4 H – no cuebids below 3 of suit) – 3S (start cuebidding) – 4C (cue) – 4H (cue) – 4S (maybe?)",
13,"1C - 2NT (4-4-4-1, 8+ HCP) - 3C (waiting) - 3D (8-10 HCP) - 4D (relay) - 4H (forced) - 4S (to play)",
14,"1C - [1H] - 2H (4-1-4-4, GF) - [P] - 2NT (ask) - 3D (11-13 HCP) - 3NT (to play; maybe could sniff out 6D)","I’d expect W to raise to 3H instead of passing, in which case I don’t think N has an asking bid available. X would be penalty, 3S would set the suit, 3NT to play. 4-level bids sound like regular 3-suiter relays. Without interference, S would start with 3D to show 4-1-4-4 shape. Interestingly, interference helps save space here."
15,"1C - 2H (1-4-4-4, GF) - 2S (waiting) - 2NT (8-10 HCP) - relay to 4H or investigate slam, I guess, maybe bidding 3D/H to set suit and ask for cuebids",
16,"1C - 1H (5+ S, GF) - 2C (6+ C) - 3C (4-5 D) - 3NT (to play) - 4D (5 D, 5S, slammish) - 4NT/5D (to play)",
17,"1C - 1NT (5+ C, GF) - 2S (6+ S) - 3H (3+ card spade support or 2 spades w/ honor, nothing else to say regarding shape) - 3S (set suit) - cue bids and keycard to come, landing in 6S or 7S",
18,"1C - 2H (1-4-4-4, 8+ HCP – I’d vote for this even with the stiff AS) – 2S (waiting) – 3D (14-15 HCP) – 4C (relay) – 4D (forced) – 4NT (quantitative invite) – P? (4C and beyond is a bit speculative here, not sure how it would go at the table)",
19,"1C – 3C (4-4-1-4, 8+ HCP) – 3D (waiting) – 3NT (14-15 HCP) – 4NT? (spade keycard) – etc.",
20,"1C – 1H (5+ S, GF) – 2C (6+ C) – 2H (6+ S) – 2NT (natural-ish) – 3D (4 D) – 3NT",
