deal,auction,bid_notes,notes
1,1C Pass 2H =1= Pass 2S =2= Pass 3C =3= Pass 3S =4= Pass 4C =5= Pass 4H =6= Pass 4S Pass Pass Pass,"1:1-4-4-4, 8+ HCP|2:waiting|3:11-13 HCP|4:sets trump|5:cue|6:cue",
2,1C Pass 1NT =1= Pass 2C =2= Pass 2S =3= Pass 2NT =4= Pass 3S =5= Pass 4H =6= Pass Pass =7= Pass,"1:5+\Cs, GF|2:waiting|3:5332, non-min; start with 1\S with 5min 332 and 8-10|4:waiting|5:doubleton|6:to play|7:~13- HCP",
3,1C Pass 1H =1= Pass 2H =2= Pass 3C =3= Pass 3H =4= Pass 3S =5= Pass 4D =6= Pass 4S =7= Pass 5C =8= Pass 5D =9= Pass 5NT =10= Pass 6H =11= Pass Pass Pass,"1:5+\Ss, GF|2:6+\Hs|3:4-5\Ds|4:sets suit|5:cue|6:cue|7:\H keycard|8:3/0|9:Q?|10:Q\H no other K|11:probably too much to ask to get to 7; N would need to reveal shape more precisely","Possible that N could bid 3\D instead of 3\H, which sets the suit and initiates cuebids"
4,1C Pass 2NT =1= Pass 3C =2= Pass 3H =3= Pass 3NT =4= or =5= 4D =6= Pass 4H =7= Pass 5D =8= Pass Pass Pass,"1:4-4-4-1, 8+ HCP|2:waiting|3:11-13 HCP|4:to play|5:less likely|6:relay|7:forced|8:to play",
4-1,1C 1H X =1= 2H 3C Pass 3NT Pass Pass Pass,"1:takeout, GF",Alternative
5,1C Pass 1NT =1= Pass 2S =2= Pass 3C =3= Pass 3H =4= Pass 4NT =5= Pass 6NT Pass Pass Pass,"1:5+\Cs GF|2:usually 6+ spades|3:4-5\Ds|4:55 majors|5:no fit, 11-13",
6,1C Pass 2D =1= Pass 2S =2= Pass 3D =3= Pass 3H =4= Pass 3S =5= Pass 4C =6= Pass 4D =7= Pass 4S =8= Pass 5NT =9= Pass 7H? Pass Pass Pass,"1:5+\Hs, GF|2:6+ spades|3:6+\Hs|4:set suit|5:cue bid|6:cue|7:cue|8:keycard|9:even w/ void",
7,1C Pass 2C =1= Pass 2H =2= Pass 2S =3= Pass 3H =4= Pass 4D =5= Pass 4S =6= Pass 5D =7= Pass 6H Pass Pass Pass,"1:5+\Ds, GF|2:6+ hearts|3:5332, non-min|4:set suit|5:cue|6:keycard|7:2 keycards, no Q\H",
8,1C Pass 3C =1= Pass 3D =2= Pass 3S =3= Pass 4C =4= Pass 4D =5= Pass 4H =6= Pass Pass Pass,"1:4-4-1-4, 8+ HCP|2:waiting|3:11-13 HCP|4:relay|5:forced|6:nat slam try",
9,1C Pass 1H =1= Pass 2C =2= Pass 2D =3= Pass 3C =4= Pass 3D =5= Pass 3H =6= Pass 3S =7= Pass 4D =8= Pass 4NT =9= Pass 5D =10= Pass 5NT =11= Pass 6NT Pass Pass Pass,"1:5+\Ss, GF|2:6+\Cs|3:4-5\Hs|4:set suit|5:cue|6:cue|7:cue|8:keycard|9:2 keycards, no Q\C|10:kings?|11:no K\H, no K\S, yes K\D",
10,1C Pass 3C =1= Pass 3D =2= Pass 4C =3= Pass 4NT =4= Pass 5D =5= Pass 5H =6= Pass 6S =7= Pass Pass =8= Pass,"1:4-4-1-4, 8+ HCP|2:waiting|3:16+ HCP|4:spade keycard|5:3/0|6:Q?|7:Q\S, no other K’s|8:probably","I’ve never discussed this auction, because the 4\C bid showing 16+ HCP is exceedingly rare. It stands to reason that the only permissible bids after that are looking for slams, so they should be keycard sequences for the usual mini-Roman relay"
11,1C Pass 3C =1= Pass 3D =2= Pass 3S =3= Pass 4C =4= Pass 4D =5= Pass 4H =6= Pass Pass Pass,"1:4-4-1-4, 8+ HCP|2:waiting|3:11-13 HCP|4:relay|5:forced|6:nat slam try",
12,1C Pass 1H =1= Pass 1S =2= Pass 2H =3= Pass 2S =4= Pass 3H =5= Pass 3S =6= Pass 4C =7= Pass 4H =8= Pass 4S =9= Pass Pass Pass,"1:5+\Ss, GF|2:waiting|3:6+\Ss|4:set suit|5:4\Hs - no cuebids below 3 of suit|6:start cuebidding|7:cue|8:cue|9:maybe?",
13,1C Pass 2NT =1= Pass 3C =2= Pass 3D =3= Pass 4D =4= Pass 4H =5= Pass 4S =6= Pass Pass Pass,"1:4-4-4-1, 8+ HCP|2:waiting|3:8-10 HCP|4:relay|5:forced|6:to play",
14,1C 1H 2H =1= Pass 2NT =2= Pass 3D =3= Pass 3NT =4= Pass Pass Pass,"1:4-1-4-4, GF|2:ask|3:11-13 HCP|4:to play; maybe could sniff out 6\D","I’d expect W to raise to 3\H instead of passing, in which case I don’t think N has an asking bid available. X would be penalty, 3\S would set the suit, 3NT to play. 4-level bids sound like regular 3-suiter relays. Without interference, S would start with 3\D to show 4-1-4-4 shape. Interestingly, interference helps save space here."
15,"1C Pass 2H =1= Pass 2S =2= Pass 2NT =3= Pass relay to 4H or investigate slam, I guess, maybe bidding 3D/H to set suit and ask for cuebids Pass Pass Pass","1:1-4-4-4, GF|2:waiting|3:8-10 HCP",
16,1C Pass 1H =1= Pass 2C =2= Pass 3C =3= Pass 3NT =4= Pass 4D =5= Pass 4NT/5D =6= Pass Pass Pass,"1:5+\Ss, GF|2:6+\Cs|3:4-5\Ds|4:to play|5:5\Ds, 5\S, slammish|6:to play",
17,"1C Pass 1NT =1= Pass 2S =2= Pass 3H =3= Pass 3S =4= Pass cue bids and keycard to come, landing in 6S or 7S Pass Pass Pass","1:5+\Cs, GF|2:6+\Ss|3:3+ card spade support or 2 spades w/ honor, nothing else to say regarding shape|4:set suit",
18,1C Pass 2H =1= Pass 2S =2= Pass 3D =3= Pass 4C =4= Pass 4D =5= Pass 4NT =6= Pass P? =7= Pass Pass Pass,"1:1-4-4-4, 8+ HCP - I’d vote for this even with the stiff A\S|2:waiting|3:14-15 HCP|4:relay|5:forced|6:quantitative invite|7:4\C and beyond is a bit speculative here, not sure how it would go at the table",
19,1C Pass 3C =1= Pass 3D =2= Pass 3NT =3= Pass 4NT? =4= Pass etc. Pass Pass Pass,"1:4-4-1-4, 8+ HCP|2:waiting|3:14-15 HCP|4:spade keycard",
20,1C Pass 1H =1= Pass 2C =2= Pass 2H =3= Pass 2NT =4= Pass 3D =5= Pass 3NT Pass Pass Pass,"1:5+\Ss, GF|2:6+\Cs|3:6+\Ss|4:natural-ish|5:4\Ds",
21,1C 2C Pass =1= 2D X =2= 3C 3H 3S 4H Pass Pass Pass,1:not GF|2:takeout,
22,1C Pass 2C =1= Pass 2D =2= Pass 2H =3= Pass 3D =4= Pass 3S =5= Pass 4D =6= Pass 4H =7= Pass 4NT =8= Pass 5C =9= Pass 5H =10= Pass 6C =11= Pass 6D =12= Pass 6NT? Pass Pass Pass,"1:5+\Ds, GF|2:waiting|3:4\Ss|4:set suit|5:cue|6:denies club control|7:\D keycard|8:3/0|9:Q?|10:Q\D, K\H|11:ask for K|12:nope",Finding 7 may be too hard; requires knowing about Q\S. Maybe N should take control of auction with keycard 4\H instead of bidding 4\D.
23,1C Pass 2NT =1= Pass 3C =2= Pass 3NT =3= Pass 6NT =4= Pass Pass Pass,"1:4-4-4-1, 8+|2:waiting|3:16+ HCP|4:to play, expecting 16 HCP",
24,1C Pass 2C =1= Pass 2S =2= Pass 3D =3= Pass 3NT? Pass Pass Pass,"1:5+\Ds, GF|2:6+\Ss|3:4\Hs",
25,1C Pass 2D =1= Pass 2H =2= Pass 3C =3= Pass 4H =4= Pass Pass Pass,"1:5+\Hs, GF|2:waiting|3:4-5 card minor|4:to play; probably too light for 3\H and cuebidding",
26,1C Pass 3D =1= Pass 3H =2= Pass 3S =3= Pass 4C =4= Pass 4D =5= Pass 5D =6= Pass Pass Pass,"1:4-1-4-4, 8+|2:waiting|3:11-13 HCP|4:relay|5:forced|6:slam invite",
27,1C Pass 2NT =1= Pass 3C =2= Pass 3D =3= Pass relay to 4H Pass Pass Pass,"1:4-4-4-1, 8+|2:waiting|3:8-10 HCP",
28,1C Pass 2H =1= Pass 2S =2= Pass 2NT =3= Pass either 3NT or relay to 4H Pass Pass Pass,"1:1-4-4-4, 8+; don’t lie about shape I guess|2:waiting|3:8-10 HCP",
29,1C Pass 3C =1= Pass 3D =2= Pass 3S =3= Pass etc Pass Pass Pass,"1:4-4-1-4, 8+|2:waiting|3:11-13",
30,1C 2H X =1= 4H X =2= Pass 4S? Pass Pass Pass,"1:takeout, GF|2:forcing pass situation",
30-1,1C Pass 1H =1= Pass 1S =2= Pass 2C =3= Pass 2S =4= Pass 3C =5= Pass 3S Pass 4D =6= Pass 4NT etc Pass Pass Pass,"1:5+\Ss, GF|2:waiting|3:4-5\Ds|4:sets suit|5:likely a fragment 5-1-4-3 or 5-0-4-4|6:cue",Without interference
31,1C Pass 2D =1= Pass 2H =2= Pass 3D =3= Pass 3S =4= Pass 3NT/4H Pass Pass Pass,"1:5+\Hs, GF|2:waiting, no 6-card suit|3:6+\Hs|4:5\Ss, probably skeptical of 3NT and 4\H",
32,1C Pass 2H =1= Pass 2S =2= Pass 3D =3= Pass 3NT =4= Pass Pass Pass,"1:1-4-4-4, 8+|2:waiting|3:14-15|4:or could relay to 5\D",
